번호,기준년월,시도코드,시도이름,시군구코드,시군구이름,행정동코드,행정동이름,법정동코드,법정동이름,피해자연령대,피해자성별,교통사고수
1,17-Jan,3000000000,대전광역시,3020000000,유성구,3020060000,관평동,3020014600,관평동,50,남,1
2,17-Jan,3000000000,대전광역시,3020000000,유성구,3020060000,관평동,3020014600,관평동,50,여,1
3,17-Jan,3000000000,대전광역시,3020000000,유성구,3020060000,관평동,3020014300,탑립동,20,남,1
4,17-Jan,3000000000,대전광역시,3020000000,유성구,3020060000,관평동,3020014300,탑립동,40,남,1
5,17-Jan,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020014700,송강동,50,남,1
6,17-Jan,3000000000,대전광역시,3020000000,유성구,3020052700,상대동,3020011500,상대동,60,남,1
7,17-Jan,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020012600,가정동,20,남,1
8,17-Jan,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020013100,덕진동,60,남,1
9,17-Jan,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020013400,자운동,30,남,1
10,17-Jan,3000000000,대전광역시,3020000000,유성구,3020057000,전민동,3020014100,전민동,50,남,1
11,17-Jan,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020011000,방동,40,남,1
12,17-Jan,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010200,교촌동,30,여,1
13,17-Jan,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010300,대정동,40,여,1
14,17-Jan,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010100,원내동,20,남,1
15,17-Jan,3000000000,대전광역시,3020000000,유성구,3020052600,학하동,3020011300,덕명동,20,남,1
16,17-Jan,3000000000,대전광역시,3020000000,유성구,3020052600,학하동,3020010500,학하동,50,남,1
17,17-Jan,3000000000,대전광역시,3020000000,유성구,3020061000,원신흥동,3020011100,봉명동,50,여,1
18,17-Jan,3000000000,대전광역시,3020000000,유성구,3020061000,원신흥동,3020011400,원신흥동,60,여,1
19,17-Jan,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011800,갑동,40,여,1
